종목코드,종목명,종가,대비,시가,고가,저가,현물가,정산가,거래량,거래대금,미결제약정
"B0165705","코스피200 C 202605   705.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165707","코스피200 C 202605   707.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165707","코스피200 C 202605   707.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165710","코스피200 C 202605   710.0 (야간)",,,,,,"0.00",,"0","0.0","6"
"B0165710","코스피200 C 202605   710.0 (주간)",,,,,,"0.00",,"0","0.0","6"
"B0165712","코스피200 C 202605   712.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165712","코스피200 C 202605   712.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165715","코스피200 C 202605   715.0 (야간)",,,,,,"0.00",,"0","0.0","12"
"B0165715","코스피200 C 202605   715.0 (주간)",,,,,,"0.00",,"0","0.0","12"
"B0165717","코스피200 C 202605   717.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165717","코스피200 C 202605   717.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165720","코스피200 C 202605   720.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165720","코스피200 C 202605   720.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165722","코스피200 C 202605   722.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165722","코스피200 C 202605   722.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165725","코스피200 C 202605   725.0 (야간)",,,,,,"0.00",,"0","0.0","2"
"B0165725","코스피200 C 202605   725.0 (주간)",,,,,,"0.00",,"0","0.0","2"
"B0165727","코스피200 C 202605   727.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165727","코스피200 C 202605   727.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165730","코스피200 C 202605   730.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165730","코스피200 C 202605   730.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165732","코스피200 C 202605   732.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165732","코스피200 C 202605   732.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165735","코스피200 C 202605   735.0 (야간)",,,,,,"0.00",,"0","0.0","4"
"B0165735","코스피200 C 202605   735.0 (주간)",,,,,,"0.00",,"0","0.0","4"
"B0165737","코스피200 C 202605   737.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165737","코스피200 C 202605   737.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165740","코스피200 C 202605   740.0 (야간)",,,,,,"0.00",,"0","0.0","7"
"B0165740","코스피200 C 202605   740.0 (주간)",,,,,,"0.00",,"0","0.0","7"
"B0165742","코스피200 C 202605   742.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165742","코스피200 C 202605   742.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165745","코스피200 C 202605   745.0 (야간)",,,,,,"0.00",,"0","0.0","7"
"B0165745","코스피200 C 202605   745.0 (주간)",,,,,,"0.00",,"0","0.0","7"
"B0165747","코스피200 C 202605   747.5 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165747","코스피200 C 202605   747.5 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165750","코스피200 C 202605   750.0 (야간)",,,,,,"0.00",,"0","0.0","18"
"B0165750","코스피200 C 202605   750.0 (주간)",,,,,,"0.00",,"0","0.0","18"
