idx,매물ID,상세링크,error
414,41231190,https://fem.encar.com/cars/detail/41231190?advClickPosition=mweb_mhightlight_g164_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
415,40547974,https://fem.encar.com/cars/detail/40547974?advClickPosition=mweb_mhightlight_g165_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
416,41467983,https://fem.encar.com/cars/detail/41467983?advClickPosition=mweb_mhightlight_g166_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
417,40978756,https://fem.encar.com/cars/detail/40978756?advClickPosition=mweb_mhightlight_g167_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
418,40961363,https://fem.encar.com/cars/detail/40961363?advClickPosition=mweb_mhightlight_g168_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
419,41255139,https://fem.encar.com/cars/detail/41255139?advClickPosition=mweb_mhightlight_g169_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
420,41203522,https://fem.encar.com/cars/detail/41203522?advClickPosition=mweb_mhightlight_g170_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
421,41635722,https://fem.encar.com/cars/detail/41635722?advClickPosition=mweb_mhightlight_g171_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
422,41609159,https://fem.encar.com/cars/detail/41609159?advClickPosition=mweb_mhightlight_g172_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
423,41648791,https://fem.encar.com/cars/detail/41648791?advClickPosition=mweb_mhightlight_g173_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
